id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
10031726,Braviary #155,Pokemon Black Bolt,656,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
4050089,Hisuian Electrode V #172,Pokemon Lost Origin,242,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026787,Durant #150,Pokemon White Flare,570,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026708,Lampent #102,Pokemon White Flare,950,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031755,Meloetta ex #167,Pokemon Black Bolt,3498,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
12351399,Litten #44,Pokemon Promo,1004,Ungraded,Normal wear,,,0,1,2026-03-30,,,,
4188894,Gallade V #SWSH258,Pokemon Promo,111,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031643,Dwebble #129,Pokemon Black Bolt,2493,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031622,Musharna #117,Pokemon Black Bolt,721,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026784,Ferroseed #148,Pokemon White Flare,523,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031600,Tirtouga #106,Pokemon Black Bolt,1417,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031738,Darumaka #97,Pokemon Black Bolt,937,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
12087802,Mega Charizard Y Ex #30,Pokemon Promo,650,Ungraded,Normal wear,,,0,1,2026-04-03,,,,
10031687,Pawniard #142,Pokemon Black Bolt,544,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10034560,Tornadus #210,Pokemon Promo,225,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800224,Enriching Energy #191,Pokemon Surging Sparks,299,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10332659,Cryogonal [Holiday Calendar] #47,Pokemon Surging Sparks,105,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
